Team,Country,NameF,NameL,Weight,Height,DOB,Hometown,Prov,Pos,Age,HeightFt,HtIn,BMI
Women,USA,Kendall,Coyne,123,5'2,5/25/1992,Palos Heights,Ill.,Forward,30,5.17,62.00,22
Women,USA,Brianna,Decker,150,5'4,5/13/1991,Dousman,Wis.,Forward,31,5.33,64.00,26
Women,USA,Meghan,Duggan,164,5'10,9/3/1987,Danvers,Mass.,Forward,34,5.83,70.00,24
Women,USA,Kali,Flanagan,142,5'4,9/19/1995,Burlington,Mass.,Defence,26,5.33,64.00,24
Women,USA,Nicole,Hensley,155,5'7,6/23/1994,Lakewood,Colo.,Goalie,28,5.58,67.00,24
Women,USA,Megan,Keller,160,5'11,5/1/1996,Farmington,Mich.,Defence,26,5.92,71.00,22
Women,USA,Amanda,Kessel,136,5'5,8/28/1991,Madison,Wis.,Forward,30,5.42,65.00,23
Women,USA,Hilary,Knight,175,5'11,7/12/1989,Sun Valley,Idaho,Forward,33,5.92,71.00,24
Women,USA,Jocelyne,Lamoureux-Davidson,150,5'6,7/3/1989,Grand Forks,N.D.,Forward,33,5.50,66.00,24
Women,USA,Monique,Lamoureux-Morando,147,5'6,7/3/1989,Grand Forks,N.D.,Forward,33,5.50,66.00,24
Women,USA,Gigi,Marvin,159,5'8,3/7/1987,Warroad,Minn.,Forward,35,5.67,68.00,24
Women,USA,Sidney,Morin,140,5'5,6/6/1995,Minnetonka,Minn.,Defence,27,5.42,65.00,23
Women,USA,Kelly,Pannek,165,5'8,12/29/1995,Plymouth,Minn.,Forward,26,5.67,68.00,25
Women,USA,Amanda,Pelkey,135,5'3,5/29/1993,Montpelier,Vt.,Forward,29,5.25,63.00,24
Women,USA,Emily,Pfalzer,125,5'3,6/14/1993,Buffalo,N.Y.,Defence,29,5.25,63.00,22
Women,USA,Alex,Rigsby,150,5'7,1/3/1992,Delafield,Wis.,Goalie,30,5.58,67.00,23
Women,USA,Maddie,Rooney,145,5'5,7/7/1997,Andover,Minn.,Goalie,25,5.42,65.00,24
Women,USA,Haley,Skarupa,140,5'6,1/3/1994,Rockville,Md.,Forward,28,5.50,66.00,23
Women,USA,Lee,Stecklein,175,6'0,4/23/1994,Roseville,Minn.,Defence,28,6.00,72.00,24
Men,Canada,Gilbert,Brulé,190,5'11,1/1/1987,Vancouver,B.C.,Forward,35,5.92,71.00,26
Men,Canada,Wojtek,Wolski,220,6'3,2/24/1986,Toronto,Ont.,Forward,36,6.25,75.00,27
Men,Canada,Derek,Roy,187,5'9,5/4/1983,Rockland,Ont.,Forward,39,5.75,69.00,28
Men,Canada,Chris,Kelly,194,6'0,11/11/1980,Toronto,Ont.,Forward,41,6.00,72.00,26
Men,Canada,Rob,Klinkhammer,214,6'3,8/12/1986,Lethbridge,Alta.,Forward,36,6.25,75.00,27
Men,Canada,Brandon,Kozun,170,5'8,3/8/1990,Calgary,Alta.,Forward,32,5.67,68.00,26
Men,Canada,Quinton,Howden,190,6'2,1/21/1992,Oakbank,Man.,Forward,30,6.17,74.00,24
Men,Canada,René,Bourque,216,6'2,12/10/1981,Lac La Biche,Alta.,Forward,40,6.17,74.00,28
Men,Canada,Andrew,Ebbett,176,5'9,1/2/1983,Vernon,B.C.,Forward,39,5.75,69.00,26
Men,Canada,Mason,Raymond,179,6'1,9/17/1985,Cochrane,Alta.,Forward,36,6.08,73.00,24
